new_sample_runid	new_complete_name	library_id	comment	unique_sample_id	old_complete_name	old_run_id	lab_project_id	batch_name	country	country_alpha2	country_alpha3	city	latitude_inferred	longtitude_inferred	batch_abbr	year	collection_date	collected_by	isolation_source	organism	ena_sample_acc	ena_experiment_acc	ena_run_acc	sequencing_platform	sequencing_type	instrument_model
1	DTU_2016_1_1_MG_ALB-17	1		2016_pil_alb_01	DTU2016_MG_333_17_ALB-17	333	1058	GS pilot 2016	Albania	AL	ALB	Tirana	41,32	19,90	pil	16	2016-01-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520863	ERX2624029	ERR2607373	Illumina	paired	Illumina HiSeq 3000
2	DTU_2016_2_2_MG_ALB-17_1	2		2016_pil_alb_01	DTU2016_MG_333_17_ALB-17_1	333	1058	GS pilot 2016	Albania	AL	ALB	Tirana	41,32	19,90	pil	16	2016-01-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520861	ERX2624027	ERR2607371	Illumina	paired	Illumina HiSeq 3000
3	DTU_2016_3_3_MG_ALB-17_2	3		2016_pil_alb_01	DTU2016_MG_333_17_ALB-17_2	333	1058	GS pilot 2016	Albania	AL	ALB	Tirana	41,32	19,90	pil	16	2016-01-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520862	ERX2624028	ERR2607372	Illumina	paired	Illumina HiSeq 3000
4	DTU_2016_4_1_MG_AUS-18	1		2016_pil_aus_01	DTU2016_MG_334_18_AUS-18	334	1058	GS pilot 2016	Australia	AU	AUS	Woden	-35,35	149,09	pil	16	2016-04-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520873	ERX2624039	ERR2607383	Illumina	paired	Illumina HiSeq 3000
5	DTU_2016_5_2_MG_AUS-18_1	2		2016_pil_aus_01	DTU2016_MG_334_18_AUS-18_1	334	1058	GS pilot 2016	Australia	AU	AUS	Woden	-35,35	149,09	pil	16	2016-04-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520864	ERX2624030	ERR2607374	Illumina	paired	Illumina HiSeq 3000
6	DTU_2016_6_3_MG_AUS-18_2	3		2016_pil_aus_01	DTU2016_MG_334_18_AUS-18_2	334	1058	GS pilot 2016	Australia	AU	AUS	Woden	-35,35	149,09	pil	16	2016-04-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520865	ERX2624031	ERR2607375	Illumina	paired	Illumina HiSeq 3000
7	DTU_2016_7_4_MG_AUS-18_3	4		2016_pil_aus_01	DTU2016_MG_334_18_AUS-18_3	334	1058	GS pilot 2016	Australia	AU	AUS	Woden	-35,35	149,09	pil	16	2016-04-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520866	ERX2624032	ERR2607376	Illumina	paired	Illumina HiSeq 3000
8	DTU_2016_8_5_MG_AUS-18_4	5		2016_pil_aus_01	DTU2016_MG_334_18_AUS-18_4	334	1058	GS pilot 2016	Australia	AU	AUS	Woden	-35,35	149,09	pil	16	2016-04-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520867	ERX2624033	ERR2607377	Illumina	paired	Illumina HiSeq 3000
9	DTU_2016_9_1_MG_AUS-18a	1		2016_pil_aus_02	DTU2016_MG_335_18a_AUS-18a	335	1058	GS pilot 2016	Australia	AU	AUS	Melbourne	-37,81	144,96	pil	16	2016-08-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520872	ERX2624038	ERR2607382	Illumina	paired	Illumina HiSeq 3000
10	DTU_2016_10_2_MG_AUS-18a_1	2		2016_pil_aus_02	DTU2016_MG_335_18a_AUS-18a_1	335	1058	GS pilot 2016	Australia	AU	AUS	Melbourne	-37,81	144,96	pil	16	2016-08-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520868	ERX2624034	ERR2607378	Illumina	paired	Illumina HiSeq 3000
11	DTU_2016_11_3_MG_AUS-18a_2	3		2016_pil_aus_02	DTU2016_MG_335_18a_AUS-18a_2	335	1058	GS pilot 2016	Australia	AU	AUS	Melbourne	-37,81	144,96	pil	16	2016-08-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520869	ERX2624035	ERR2607379	Illumina	paired	Illumina HiSeq 3000
12	DTU_2016_12_4_MG_AUS-18a_3	4		2016_pil_aus_02	DTU2016_MG_335_18a_AUS-18a_3	335	1058	GS pilot 2016	Australia	AU	AUS	Melbourne	-37,81	144,96	pil	16	2016-08-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520870	ERX2624036	ERR2607380	Illumina	paired	Illumina HiSeq 3000
13	DTU_2016_13_5_MG_AUS-18a_4	5		2016_pil_aus_02	DTU2016_MG_335_18a_AUS-18a_4	335	1058	GS pilot 2016	Australia	AU	AUS	Melbourne	-37,81	144,96	pil	16	2016-08-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520871	ERX2624037	ERR2607381	Illumina	paired	Illumina HiSeq 3000
14	DTU_2016_14_1_MG_AUT-70	1		2016_pil_aut_01	DTU2016_MG_386_70_AUT-70	386	1058	GS pilot 2016	Austria	AT	AUT	Vienna	48,21	16,37	pil	16	2016-02-16	Global sewage consortium	wastewater	wastewater metagenome	ERS2520877	ERX2624043	ERR2607387	Illumina	paired	Illumina HiSeq 3000
15	DTU_2016_15_2_MG_AUT-70_1	2		2016_pil_aut_01	DTU2016_MG_386_70_AUT-70_1	386	1058	GS pilot 2016	Austria	AT	AUT	Vienna	48,21	16,37	pil	16	2016-02-16	Global sewage consortium	wastewater	wastewater metagenome	ERS2520874	ERX2624040	ERR2607384	Illumina	paired	Illumina HiSeq 3000
