id, gene, type, version, ALB, ARE, ARG, AUS, AUT, BEL, BEN, BFA, BGD, BGR, BIH, BOL, BRA, BRB, BWA, CAN, CHE, CHL, CHN, CIV, CMR, COD, COL, CZE, DEU, DNK, ECU, ESP, EST, ETH, FIN, FRA, GBR, GEO, GHA, GRC, GRL, GTM, HKG, HRV, HUN, IND, IRL, IRN, ISL, ISR, ITA, JPN, KAZ, KEN, KHM, KOR, KWT, LCA, LKA, LTU, LUX, LVA, MAR, MDA, MKD, MLT, MNE, MUS, MWI, MYS, NGA, NIC, NLD, NOR, NPL, NZL, PAK, PER, PHL, POL, PRT, PRY, RKS, SAU, SEN, SGP, SRB, SVK, SVN, SWE, TCD, TGO, TUR, TWN, TZA, UGA, URY, USA, VNM, ZAF, ZMB
erm_B_10_U86375.R, erm_B_10_U86375, R, R, ALB, ARE, ARG, AUS, AUT, BEL, BEN, BFA, *, BGR, BIH, BOL, BRA, *, BWA, CAN, CHE, CHL, CHN, CIV, CMR, COD, COL, CZE, DEU, DNK, ECU, ESP, EST, ETH, FIN, FRA, GBR, GEO, GHA, GRC, GRL, GTM, *, HRV, HUN, IND, IRL, IRN, ISL, ISR, ITA, JPN, KAZ, KEN, *, KOR, KWT, LCA, LKA, LTU, LUX, LVA, MAR, MDA, MKD, MLT, MNE, MUS, *, MYS, NGA, NIC, NLD, NOR, NPL, NZL, PAK, PER, PHL, POL, PRT, PRY, RKS, *, SEN, SGP, SRB, SVK, SVN, SWE, *, TGO, TUR, TWN, TZA, UGA, URY, USA, VNM, ZAF, ZMB
erm_B_23_X72021.R, erm_B_23_X72021, R, R, ALB, *, *, AUS, AUT, BEL, *, BFA, *, BGR, BIH, *, *, BRB, *, CAN, CHE, *, CHN, CIV, CMR, COD, *, CZE, DEU, DNK, ECU, ESP, EST, ETH, FIN, FRA, GBR, *, GHA, GRC, GRL, *, HKG, HRV, HUN, *, IRL, IRN, ISL, ISR, ITA, JPN, KAZ, KEN, *, KOR, KWT, LCA, LKA, LTU, LUX, LVA, MAR, MDA, MKD, MLT, MNE, MUS, MWI, MYS, *, *, NLD, NOR, NPL, NZL, PAK, *, PHL, POL, PRT, PRY, RKS, SAU, SEN, SGP, SRB, SVK, SVN, SWE, *, *, TUR, TWN, TZA, UGA, *, USA, *, ZAF, *
erm_B_12_U18931.R, erm_B_12_U18931, R, R, ALB, *, *, AUS, AUT, BEL, *, *, BGD, BGR, BIH, *, *, *, *, CAN, CHE, CHL, CHN, *, CMR, *, COL, CZE, DEU, DNK, ECU, ESP, EST, *, FIN, FRA, GBR, *, GHA, GRC, GRL, GTM, HKG, HRV, HUN, *, *, IRN, ISL, ISR, ITA, JPN, KAZ, KEN, KHM, KOR, KWT, *, LKA, LTU, LUX, LVA, MAR, MDA, MKD, MLT, MNE, MUS, MWI, MYS, *, NIC, NLD, NOR, NPL, NZL, PAK, PER, PHL, POL, PRT, PRY, RKS, *, *, SGP, SRB, SVK, SVN, SWE, *, TGO, TUR, TWN, TZA, UGA, *, USA, *, *, *
erm_B_1_JN899585.R, erm_B_1_JN899585, R, R, ALB, ARE, *, AUS, AUT, *, *, BFA, BGD, BGR, BIH, *, BRA, *, *, CAN, CHE, *, CHN, CIV, CMR, *, COL, CZE, DEU, DNK, ECU, *, *, ETH, FIN, FRA, *, GEO, GHA, GRC, *, GTM, HKG, *, HUN, *, *, IRN, ISL, ISR, ITA, *, KAZ, KEN, *, KOR, KWT, *, LKA, LTU, LUX, *, MAR, MDA, *, MLT, MNE, MUS, *, MYS, NGA, NIC, NLD, *, NPL, NZL, PAK, PER, PHL, *, PRT, *, *, SAU, *, SGP, SRB, SVK, SVN, SWE, TCD, *, *, TWN, TZA, UGA, *, USA, *, *, *
erm_B_20_AF109075.v1, erm_B_20_AF109075, v, 1, *, *, *, AUS, AUT, BEL, *, *, *, *, BIH, *, *, *, *, CAN, CHE, *, *, *, *, *, *, CZE, DEU, DNK, *, ESP, EST, *, FIN, *, GBR, *, *, GRC, *, *, *, HRV, HUN, *, *, *, *, *, ITA, *, *, *, *, KOR, *, *, *, *, LUX, LVA, *, *, *, *, MNE, *, *, *, *, *, *, *, *, NZL, *, *, *, POL, PRT, *, RKS, *, *, *, SRB, SVK, SVN, SWE, *, *, *, *, *, *, *, USA, *, ZAF, *
erm_B_18_X66468.v2, erm_B_18_X66468, v, 2, *, *, ARG, AUS, AUT, BEL, *, *, BGD, *, *, *, *, *, *, CAN, CHE, CHL, *, *, *, *, COL, CZE, DEU, DNK, *, ESP, EST, *, FIN, *, GBR, *, *, GRC, GRL, GTM, *, *, HUN, *, *, *, *, *, ITA, *, *, *, *, KOR, *, *, *, LTU, LUX, LVA, MAR, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, POL, PRT, *, *, *, *, *, SRB, SVK, SVN, *, *, *, *, *, *, UGA, *, USA, *, *, *
erm_B_18_X66468.v1, erm_B_18_X66468, v, 1, *, *, *, AUS, AUT, BEL, *, BFA, BGD, BGR, *, *, *, *, *, CAN, CHE, *, *, *, *, *, *, CZE, *, *, *, ESP, EST, *, *, FRA, *, *, *, *, *, *, *, *, *, *, *, *, *, *, ITA, *, KAZ, KEN, *, KOR, *, *, *, *, LUX, *, *, *, MKD, *, MNE, *, *, *, *, *, *, *, *, *, *, *, *, *, PRT, *, RKS, *, *, *, SRB, SVK, *, SWE, *, *, *, *, *, *, *, USA, *, *, *
erm_B_9_AF299292.R, erm_B_9_AF299292, R, R, *, *, *, *, *, *, *, *, *, BGR, *, *, *, *, *, CAN, *, *, *, CIV, CMR, *, *, *, DEU, DNK, ECU, *, EST, *, *, FRA, GBR, *, *, *, GRL, *, HKG, *, *, *, *, IRN, *, *, *, *, *, *, *, KOR, *, *, *, *, *, *, MAR, *, *, *, *, MUS, *, MYS, *, *, NLD, *, NPL, *, *, *, *, *, *, *, *, *, *, SGP, *, *, *, SWE, *, *, *, *, *, UGA, *, USA, *, *, *
erm_B_20_AF109075.R, erm_B_20_AF109075, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, CAN, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, GTM, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, MAR, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
erm_B_6_AF242872.R, erm_B_6_AF242872, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, CHE, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, KOR, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
erm_B_23_X72021.v3, erm_B_23_X72021, v, 3, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, GHA, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
erm_B_23_X72021.v2, erm_B_23_X72021, v, 2, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, JPN, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
erm_B_23_X72021.v1, erm_B_23_X72021, v, 1, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, ZAF, *
erm_B_10_U86375.v2, erm_B_10_U86375, v, 2, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, GHA, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
erm_B_10_U86375.v1, erm_B_10_U86375, v, 1, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, IND, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
erm_B_18_X66468.R, erm_B_18_X66468, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
