id, gene, type, version, ALB, ARG, AUS, AUT, BEL, BGR, BIH, BOL, BRA, CAN, CHE, CHL, CIV, COD, COL, CZE, DEU, DNK, ECU, ESP, EST, ETH, FIN, FRA, GBR, GEO, GRC, GRL, GTM, HRV, HUN, IND, IRL, IRN, ISL, ITA, JPN, KAZ, KEN, KOR, LTU, LUX, LVA, MDA, MDG, MKD, MLT, MNE, MOZ, MUS, MWI, NOR, NPL, NZL, PAK, PRT, PRY, RKS, SEN, SGP, SRB, SVK, SVN, SWE, TUR, URY, USA, VNM, ZAF
blaOXA_333_1_KF203107.R, blaOXA_333_1_KF203107, R, R, ALB, ARG, AUS, AUT, BEL, BGR, BIH, BOL, BRA, CAN, CHE, CHL, *, COD, *, CZE, DEU, DNK, ECU, ESP, EST, ETH, FIN, FRA, GBR, GEO, GRC, GRL, *, HRV, HUN, *, IRL, IRN, ISL, ITA, *, KAZ, KEN, KOR, LTU, LUX, LVA, MDA, *, MKD, MLT, MNE, *, MUS, *, NOR, NPL, NZL, *, PRT, *, RKS, SEN, SGP, SRB, SVK, SVN, SWE, TUR, URY, USA, *, ZAF
blaOXA_211_1_JN861779.R, blaOXA_211_1_JN861779, R, R, ALB, ARG, AUS, AUT, *, BGR, BIH, *, BRA, CAN, CHE, CHL, CIV, *, COL, CZE, *, DNK, ECU, ESP, *, ETH, FIN, FRA, GBR, GEO, GRC, GRL, GTM, HRV, HUN, IND, IRL, IRN, ISL, ITA, *, KAZ, *, KOR, LTU, LUX, *, MDA, MDG, MKD, MLT, MNE, MOZ, MUS, MWI, NOR, NPL, NZL, *, PRT, *, RKS, SEN, SGP, SRB, SVK, *, SWE, TUR, URY, USA, VNM, *
blaOXA_280_1_APPZ01000001.R, blaOXA_280_1_APPZ01000001, R, R, ALB, ARG, *, *, *, BGR, BIH, *, *, CAN, *, *, *, *, *, CZE, DEU, *, ECU, *, *, *, *, *, *, GEO, GRC, *, *, *, *, *, IRL, *, *, ITA, *, *, *, KOR, *, LUX, *, MDA, *, *, MLT, MNE, *, *, MWI, NOR, NPL, *, *, *, *, *, *, *, SRB, SVK, *, SWE, *, URY, *, *, *
blaOXA_334_1_KF203108.R, blaOXA_334_1_KF203108, R, R, ALB, ARG, AUS, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, ECU, *, *, ETH, *, *, *, GEO, *, *, *, *, *, *, *, IRN, *, *, *, KAZ, *, KOR, *, *, *, MDA, *, *, MLT, MNE, MOZ, MUS, *, *, *, NZL, PAK, *, PRY, *, SEN, *, *, SVK, *, *, *, URY, *, VNM, *
blaOXA_281_1_APON01000041.R, blaOXA_281_1_APON01000041, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, ECU, *, *, *, *, *, *, GEO, *, *, *, *, *, *, IRL, *, *, *, *, *, *, *, *, *, *, *, *, *, *, MNE, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
blaOXA_334_1_KF203108.v1, blaOXA_334_1_KF203108, v, 1, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, ECU, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, ISL, *, JPN, *, *, KOR, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, RKS, *, *, *, *, *, *, *, *, *, *, *
blaOXA_373_1_HG931732.R, blaOXA_373_1_HG931732, R, R, *, *, AUS, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, ECU, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, KOR, *, *, *, *, *, *, *, MNE, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
blaOXA_280_1_APPZ01000001.v2, blaOXA_280_1_APPZ01000001, v, 2, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, ECU, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
blaOXA_280_1_APPZ01000001.v1, blaOXA_280_1_APPZ01000001, v, 1, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, VNM, *
blaOXA_212_1_JN861780.v3, blaOXA_212_1_JN861780, v, 3, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, MOZ, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
