id, gene, type, version, ALB, ARE, ARG, AUS, AUT, BEL, BFA, BGD, BGR, BIH, BRA, BRB, BWA, CAN, CHE, CHL, CHN, CIV, CMR, COD, COL, CZE, DEU, DNK, ECU, ESP, EST, ETH, FIN, FRA, GBR, GEO, GHA, GRC, GRL, GTM, HKG, HRV, HUN, IND, IRL, IRN, ISL, ISR, ITA, JPN, KAZ, KEN, KHM, KOR, KWT, LCA, LKA, LTU, LUX, LVA, MAR, MDA, MKD, MLT, MNE, MOZ, MUS, MWI, MYS, NGA, NIC, NLD, NOR, NPL, NZL, PAK, PER, PHL, POL, PRT, PRY, RKS, SAU, SEN, SGP, SRB, SVK, SVN, SWE, TCD, TGO, THA, TUR, TWN, TZA, UGA, URY, USA, VNM, ZAF, ZMB
blaOXA_10_1_J03427.R, blaOXA_10_1_J03427, R, R, ALB, ARE, ARG, AUS, AUT, BEL, BFA, BGD, BGR, BIH, BRA, BRB, BWA, CAN, CHE, CHL, CHN, CIV, CMR, COD, COL, CZE, DEU, DNK, ECU, ESP, EST, ETH, FIN, FRA, GBR, GEO, GHA, GRC, GRL, GTM, HKG, HRV, HUN, IND, IRL, IRN, ISL, ISR, ITA, JPN, KAZ, KEN, KHM, KOR, KWT, LCA, LKA, LTU, LUX, LVA, MAR, MDA, MKD, MLT, MNE, MOZ, MUS, MWI, MYS, NGA, NIC, NLD, NOR, NPL, NZL, PAK, PER, PHL, POL, PRT, PRY, RKS, SAU, SEN, SGP, SRB, SVK, SVN, SWE, TCD, TGO, THA, TUR, TWN, TZA, UGA, URY, USA, VNM, ZAF, ZMB
blaOXA_101_1_AM412777.R, blaOXA_101_1_AM412777, R, R, ALB, ARE, ARG, AUS, AUT, BEL, BFA, *, BGR, BIH, BRA, BRB, BWA, CAN, CHE, CHL, CHN, CIV, CMR, COD, COL, CZE, DEU, DNK, ECU, ESP, EST, ETH, FIN, FRA, GBR, *, GHA, GRC, GRL, GTM, *, HRV, HUN, IND, IRL, IRN, ISL, ISR, ITA, JPN, KAZ, KEN, KHM, KOR, *, LCA, LKA, *, LUX, LVA, MAR, MDA, MKD, MLT, MNE, *, MUS, MWI, MYS, NGA, NIC, NLD, *, NPL, NZL, PAK, PER, PHL, POL, PRT, PRY, RKS, SAU, SEN, SGP, SRB, SVK, SVN, SWE, *, TGO, THA, TUR, TWN, TZA, UGA, URY, USA, VNM, ZAF, ZMB
blaOXA_17_1_DQ902344.R, blaOXA_17_1_DQ902344, R, R, *, *, *, AUS, *, *, *, *, *, *, BRA, *, *, CAN, CHE, *, CHN, CIV, *, *, *, *, *, DNK, *, *, *, ETH, *, *, GBR, *, *, GRC, *, *, HKG, *, *, *, *, IRN, *, *, *, *, *, KEN, *, KOR, *, LCA, *, *, LUX, *, *, *, MKD, *, *, *, MUS, *, *, *, *, NLD, *, *, *, *, *, *, POL, *, *, *, *, *, SGP, SRB, *, *, *, *, TGO, *, TUR, TWN, TZA, UGA, *, USA, VNM, ZAF, ZMB
blaOXA_35_1_AF315786.R, blaOXA_35_1_AF315786, R, R, *, *, *, *, *, BEL, *, *, *, *, *, *, *, *, CHE, *, *, *, *, *, *, *, DEU, *, *, *, *, *, *, FRA, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, JPN, *, *, *, *, *, *, *, *, LUX, LVA, *, *, *, *, *, *, *, *, *, *, *, NLD, *, *, *, *, *, *, *, PRT, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
blaOXA_256_1_HE616889.R, blaOXA_256_1_HE616889, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, CHN, CIV, CMR, *, *, *, *, *, *, *, *, *, *, *, *, *, GHA, GRC, *, *, *, HRV, *, *, *, *, *, *, ITA, *, *, KEN, *, *, *, *, *, *, *, *, *, *, *, *, *, *, MUS, *, *, NGA, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, TZA, *, *, *, *, *, *
blaOXA_74_1_EU161636.R, blaOXA_74_1_EU161636, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, KEN, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, TZA, *, *, *, *, *, *
blaOXA_246_1_EU886980.R, blaOXA_246_1_EU886980, R, R, *, *, *, AUS, *, *, *, *, *, *, *, *, *, *, *, *, *, CIV, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, MUS, *, *, NGA, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, ZMB
blaOXA_101_1_AM412777.v1, blaOXA_101_1_AM412777, v, 1, *, *, *, *, *, *, *, *, *, *, BRA, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, ZAF, *
blaOXA_56_1_AY445080.R, blaOXA_56_1_AY445080, R, R, *, *, *, *, *, *, *, *, *, *, BRA, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
blaOXA_520_1_KX388630.R, blaOXA_520_1_KX388630, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, ITA, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
