id, gene, type, version, ALB, ARE, ARG, AUS, AUT, BEL, BFA, BGD, BGR, BIH, BRA, BRB, BWA, CAN, CHE, CHL, CHN, CIV, CMR, COD, COL, CZE, DEU, DNK, ECU, ESP, EST, ETH, FIN, FRA, GBR, GEO, GHA, GRC, GTM, HKG, HRV, HUN, IND, IRN, ISL, ISR, ITA, JPN, KAZ, KEN, KHM, KOR, KWT, LCA, LKA, LTU, LUX, LVA, MAR, MDA, MKD, MLT, MNE, MUS, MWI, MYS, NGA, NIC, NLD, NPL, NZL, PAK, PER, PHL, POL, PRT, PRY, RKS, SAU, SEN, SGP, SRB, SVK, SVN, SWE, TCD, TGO, THA, TUR, TWN, TZA, UGA, URY, USA, VNM, ZAF, ZMB
blaGES_5_1_DQ236171.R, blaGES_5_1_DQ236171, R, R, ALB, ARE, ARG, AUS, AUT, BEL, BFA, BGD, BGR, BIH, BRA, BRB, BWA, CAN, CHE, CHL, CHN, CIV, CMR, COD, COL, CZE, DEU, DNK, ECU, ESP, EST, ETH, FIN, FRA, GBR, GEO, GHA, GRC, *, HKG, HRV, HUN, IND, IRN, ISL, ISR, ITA, JPN, KAZ, KEN, KHM, KOR, KWT, LCA, LKA, LTU, LUX, LVA, MAR, MDA, MKD, MLT, MNE, MUS, MWI, MYS, NGA, NIC, NLD, NPL, NZL, PAK, PER, PHL, POL, PRT, PRY, RKS, SAU, SEN, SGP, SRB, SVK, SVN, SWE, TCD, TGO, THA, TUR, TWN, TZA, UGA, URY, USA, VNM, ZAF, ZMB
blaGES_1_1_HQ170511.R, blaGES_1_1_HQ170511, R, R, ALB, ARE, *, AUS, AUT, *, BFA, *, BGR, *, *, BRB, *, *, *, *, CHN, CIV, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, GRC, *, HKG, HRV, *, IND, *, *, ISR, ITA, *, *, KEN, KHM, KOR, *, *, LKA, *, LUX, *, MAR, MDA, MKD, MLT, *, MUS, *, MYS, *, *, *, NPL, *, PAK, PER, PHL, *, PRT, PRY, RKS, SAU, *, SGP, *, SVK, *, SWE, *, *, *, *, *, TZA, UGA, URY, USA, VNM, ZAF, *
blaGES_2_1_AF326355.R, blaGES_2_1_AF326355, R, R, *, ARE, *, *, *, *, *, *, *, *, BRA, BRB, *, *, *, *, CHN, CIV, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, GRC, GTM, *, *, *, IND, IRN, ISL, ISR, *, *, *, KEN, *, KOR, *, *, LKA, *, LUX, *, *, *, *, *, *, *, *, MYS, *, NIC, *, *, *, PAK, PER, *, *, PRT, PRY, *, *, *, *, *, *, *, *, *, TGO, *, *, TWN, TZA, UGA, *, USA, VNM, *, ZMB
blaGES_13_1_GU169702.R, blaGES_13_1_GU169702, R, R, *, ARE, *, AUS, *, *, BFA, *, *, *, *, *, *, *, *, *, CHN, CIV, *, *, *, *, *, *, *, *, *, *, *, *, *, *, GHA, *, *, *, *, *, *, *, *, *, *, *, *, *, KHM, *, *, *, LKA, *, *, *, *, *, *, *, *, MUS, *, MYS, *, NIC, *, *, *, *, *, PHL, *, *, *, *, SAU, *, SGP, *, *, *, *, *, TGO, *, *, *, *, *, *, *, VNM, *, *
blaGES_7_1_HM453325.R, blaGES_7_1_HM453325, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, GRC, *, *, *, *, IND, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, MYS, *, *, *, *, *, *, *, *, *, PRT, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, USA, *, *, *
blaGES_6_1_AY494718.R, blaGES_6_1_AY494718, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, GRC, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, PRT, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
blaGES_16_1_HM173356.R, blaGES_16_1_HM173356, R, R, *, *, *, *, *, *, *, *, *, *, BRA, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, PRT, *, *, *, *, *, *, *, *, *, *, *, *, *, *, TZA, *, *, *, *, *, *
blaGES_9_1_AY920928.R, blaGES_9_1_AY920928, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, IND, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
blaGES_4_1_AB116723.R, blaGES_4_1_AB116723, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, JPN, *, *, *, KOR, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
blaGES_3_1_AB113580.R, blaGES_3_1_AB113580, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, TZA, *, *, *, *, *, *
