id, gene, type, version, ARG, AUS, BGD, CAN, CHE, CHN, CIV, CMR, COD, DNK, FIN, FRA, GBR, GHA, HRV, ISL, KEN, KOR, LUX, MUS, MYS, NPL, NZL, PAK, PRT, SGP, SRB, SVK, SVN, SWE, TZA, UGA, USA
mef_A_4_HG423652.v1, mef_A_4_HG423652, v, 1, *, AUS, *, *, *, *, *, *, *, *, FIN, *, *, *, *, *, *, KOR, *, MUS, MYS, *, NZL, *, PRT, SGP, *, *, *, SWE, *, *, USA
mef_A_4_HG423652.v4, mef_A_4_HG423652, v, 4, *, *, *, *, *, *, CIV, CMR, *, DNK, *, *, *, *, *, *, KEN, *, *, MUS, *, *, *, *, *, *, *, SVK, *, *, TZA, UGA, *
mef_A_4_HG423652.v3, mef_A_4_HG423652, v, 3, *, *, *, CAN, *, *, *, *, *, *, *, *, GBR, *, HRV, *, *, *, LUX, *, *, *, *, *, *, *, SRB, *, SVN, *, *, *, *
mef_A_4_HG423652.v9, mef_A_4_HG423652, v, 9, *, *, *, *, CHE, *, *, CMR, COD, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, TZA, *, *
mef_A_4_HG423652.v5, mef_A_4_HG423652, v, 5, ARG, *, *, CAN, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, SVN, *, *, *, *
mef_A_4_HG423652.v2, mef_A_4_HG423652, v, 2, *, *, BGD, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, NPL, *, PAK, *, *, *, *, *, *, *, *, *
mef_A_4_HG423652.v7, mef_A_4_HG423652, v, 7, *, *, *, *, *, *, *, *, *, *, *, FRA, *, *, *, ISL, *, *, *, *, *, *, *, *, *, *, *, *, *, *, TZA, *, *
mef_A_4_HG423652.v6, mef_A_4_HG423652, v, 6, *, *, *, CAN, *, CHN, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
mef_A_4_HG423652.v8, mef_A_4_HG423652, v, 8, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, KOR, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
mef_A_4_HG423652.v11, mef_A_4_HG423652, v, 11, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, TZA, *, *
mef_A_4_HG423652.v10, mef_A_4_HG423652, v, 10, *, *, *, *, *, *, *, *, *, *, *, *, *, GHA, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
mef_A_4_HG423652.R, mef_A_4_HG423652, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
