id, gene, type, version, ARE, ARG, AUS, AUT, BEN, BFA, BIH, BOL, BRA, BRB, BWA, CAN, CHE, CHL, CHN, CIV, CMR, COD, COL, CZE, DEU, DNK, ECU, ESP, EST, ETH, FIN, FRA, GBR, GHA, GRC, GTM, HKG, IND, IRL, IRN, ISR, ITA, KEN, KHM, KOR, KWT, LCA, LKA, LVA, MAR, MDG, MKD, MLT, MNE, MOZ, MUS, MWI, MYS, NGA, NIC, NLD, NPL, NZL, PAK, PER, PHL, PRT, PRY, SAU, SEN, SGP, SRB, SVK, TCD, TGO, THA, TUR, TWN, TZA, UGA, URY, USA, VNM, ZAF, ZMB
blaTEM_1B_1_AY458016.R, blaTEM_1B_1_AY458016, R, R, ARE, ARG, AUS, AUT, BEN, BFA, BIH, BOL, BRA, BRB, BWA, CAN, CHE, CHL, CHN, CIV, CMR, COD, COL, CZE, DEU, DNK, ECU, ESP, EST, ETH, FIN, FRA, GBR, GHA, GRC, GTM, HKG, IND, IRL, IRN, ISR, ITA, KEN, *, KOR, KWT, LCA, LKA, LVA, MAR, MDG, MKD, MLT, MNE, MOZ, MUS, MWI, MYS, NGA, NIC, NLD, NPL, NZL, PAK, PER, PHL, PRT, PRY, SAU, SEN, SGP, SRB, SVK, TCD, TGO, THA, TUR, TWN, TZA, UGA, URY, USA, VNM, ZAF, ZMB
blaTEM_1C_1_FJ560503.R, blaTEM_1C_1_FJ560503, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, CHN, *, *, *, *, *, *, *, ECU, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, KHM, *, *, *, *, *, *, *, *, *, *, *, *, *, MYS, *, *, *, *, *, PAK, PER, *, *, *, *, *, *, *, *, TCD, *, *, *, *, *, *, *, *, *, *, *
blaTEM_1A_1_HM749966.R, blaTEM_1A_1_HM749966, R, R, *, *, *, *, *, *, *, *, BRA, *, *, *, *, *, *, *, *, *, *, *, *, DNK, ECU, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, MUS, *, *, *, NIC, *, *, *, *, *, *, *, PRY, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
blaTEM_176_1_GU550123.R, blaTEM_176_1_GU550123, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, LKA, *, *, *, *, *, *, *, MUS, *, MYS, *, *, *, *, *, *, PER, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
blaTEM_215_1_KP050492.R, blaTEM_215_1_KP050492, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, MYS, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, TGO, *, *, *, *, *, *, *, *, *, *
blaTEM_15_1_AM849805.R, blaTEM_15_1_AM849805, R, R, *, *, AUS, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, USA, *, *, *
blaTEM_116_1_AY425988.R, blaTEM_116_1_AY425988, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, CIV, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, SEN, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
blaTEM_40_1_FR717535.R, blaTEM_40_1_FR717535, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, KOR, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
blaTEM_35_1_KP860986.R, blaTEM_35_1_KP860986, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, PAK, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
blaTEM_33_1_GU371926.R, blaTEM_33_1_GU371926, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, LKA, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
blaTEM_30_1_AJ437107.R, blaTEM_30_1_AJ437107, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, KOR, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
blaTEM_135_1_GQ896333.R, blaTEM_135_1_GQ896333, R, R, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, MYS, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *, *
