region,name,country3
Africa,Algeria,DZA
Africa,Angola,AGO
Africa,Benin,BEN
Africa,Botswana,BWA
Africa,British Indian Ocean Territory,IOT
Africa,Burkina Faso,BFA
Africa,Burundi,BDI
Africa,Cabo Verde,CPV
Africa,Cameroon,CMR
Africa,Central African Republic,CAF
Africa,Chad,TCD
Africa,Comoros,COM
Africa,Congo,COG
Africa,"Congo, Democratic Republic of the",COD
Africa,Côte d'Ivoire,CIV
Africa,Djibouti,DJI
Africa,Egypt,EGY
Africa,Equatorial Guinea,GNQ
Africa,Eritrea,ERI
Africa,Eswatini,SWZ
Africa,Ethiopia,ETH
Africa,French Southern Territories,ATF
Africa,Gabon,GAB
Africa,Gambia,GMB
Africa,Ghana,GHA
Africa,Guinea,GIN
Africa,Guinea-Bissau,GNB
Africa,Kenya,KEN
Africa,Lesotho,LSO
Africa,Liberia,LBR
Africa,Libya,LBY
Africa,Madagascar,MDG
Africa,Malawi,MWI
Africa,Mali,MLI
Africa,Mauritania,MRT
Africa,Mauritius,MUS
Africa,Mayotte,MYT
Africa,Morocco,MAR
Africa,Mozambique,MOZ
Africa,Namibia,NAM
Africa,Niger,NER
Africa,Nigeria,NGA
Africa,Réunion,REU
Africa,Rwanda,RWA
Africa,"Saint Helena, Ascension and Tristan da Cunha",SHN
Africa,Sao Tome and Principe,STP
Africa,Senegal,SEN
Africa,Seychelles,SYC
Africa,Sierra Leone,SLE
Africa,Somalia,SOM
Africa,South Africa,ZAF
Africa,South Sudan,SSD
Africa,Sudan,SDN
Africa,"Tanzania, United Republic of",TZA
Africa,Togo,TGO
Africa,Tunisia,TUN
Africa,Uganda,UGA
Africa,Western Sahara,ESH
Africa,Zambia,ZMB
Africa,Zimbabwe,ZWE
Americas,Anguilla,AIA
Americas,Antigua and Barbuda,ATG
Americas,Argentina,ARG
Americas,Aruba,ABW
Americas,Bahamas,BHS
Americas,Barbados,BRB
Americas,Belize,BLZ
Americas,Bermuda,BMU
Americas,Bolivia (Plurinational State of),BOL
Americas,"Bonaire, Sint Eustatius and Saba",BES
Americas,Bouvet Island,BVT
Americas,Brazil,BRA
Americas,Canada,CAN
Americas,Cayman Islands,CYM
Americas,Chile,CHL
Americas,Colombia,COL
Americas,Costa Rica,CRI
Americas,Cuba,CUB
Americas,Curaçao,CUW
Americas,Dominica,DMA
Americas,Dominican Republic,DOM
Americas,Ecuador,ECU
Americas,El Salvador,SLV
Americas,Falkland Islands (Malvinas),FLK
Americas,French Guiana,GUF
Americas,Greenland,GRL
Americas,Grenada,GRD
Americas,Guadeloupe,GLP
Americas,Guatemala,GTM
Americas,Guyana,GUY
Americas,Haiti,HTI
Americas,Honduras,HND
Americas,Jamaica,JAM
Americas,Martinique,MTQ
Americas,Mexico,MEX
Americas,Montserrat,MSR
Americas,Nicaragua,NIC
Americas,Panama,PAN
Americas,Paraguay,PRY
Americas,Peru,PER
Americas,Puerto Rico,PRI
Americas,Saint Barthélemy,BLM
Americas,Saint Kitts and Nevis,KNA
Americas,Saint Lucia,LCA
Americas,Saint Martin (French part),MAF
Americas,Saint Pierre and Miquelon,SPM
Americas,Saint Vincent and the Grenadines,VCT
Americas,Sint Maarten (Dutch part),SXM
Americas,South Georgia and the South Sandwich Islands,SGS
Americas,Suriname,SUR
Americas,Trinidad and Tobago,TTO
Americas,Turks and Caicos Islands,TCA
Americas,United States of America,USA
Americas,Uruguay,URY
Americas,Venezuela (Bolivarian Republic of),VEN
Americas,Virgin Islands (British),VGB
Americas,Virgin Islands (U.S.),VIR
