snp-dists 0.7.0	blaCMY_4_1_LNHZ01000079.R	blaCMY_2_1_X91840.R	blaCMY_35_1_EF394371.R	blaCMY_13_1_AY339625.R	blaCMY_34_1_EF394370.R	blaCMY_42_1_HM146927.R
blaCMY_4_1_LNHZ01000079.R	0	1	14	29	4	3
blaCMY_2_1_X91840.R	1	0	13	28	3	2
blaCMY_35_1_EF394371.R	14	13	0	25	16	15
blaCMY_13_1_AY339625.R	29	28	25	0	27	30
blaCMY_34_1_EF394370.R	4	3	16	27	0	5
blaCMY_42_1_HM146927.R	3	2	15	30	5	0
