snp-dists 0.7.0	fosA_3_ACWO01000079.R	fosA_3_ACWO01000079.v1	fosA5_1_EU195449.v1	fosA5_1_EU195449.R
fosA_3_ACWO01000079.R	0	1	14	7
fosA_3_ACWO01000079.v1	1	0	13	8
fosA5_1_EU195449.v1	14	13	0	11
fosA5_1_EU195449.R	7	8	11	0
