snp-dists 0.7.0	erm_B_23_X72021.R	erm_B_1_JN899585.R	erm_B_10_U86375.R	erm_B_12_U18931.R	erm_B_18_X66468.v1	erm_B_20_AF109075.v1	erm_B_18_X66468.v2	erm_B_9_AF299292.R	erm_B_23_X72021.v1	erm_B_23_X72021.v2	erm_B_20_AF109075.R	erm_B_23_X72021.v3	erm_B_6_AF242872.R	erm_B_10_U86375.v1	erm_B_10_U86375.v2	erm_B_18_X66468.R
erm_B_23_X72021.R	0	2	4	3	28	9	29	5	1	1	8	1	12	5	5	30
erm_B_1_JN899585.R	2	0	2	1	26	9	27	3	3	3	8	3	14	3	3	28
erm_B_10_U86375.R	4	2	0	3	24	11	25	1	4	5	10	3	16	1	1	26
erm_B_12_U18931.R	3	1	3	0	27	8	28	2	4	4	7	4	13	4	4	29
erm_B_18_X66468.v1	28	26	24	27	0	35	1	25	28	29	34	27	40	25	25	2
erm_B_20_AF109075.v1	9	9	11	8	35	0	36	10	10	10	1	10	19	12	12	37
erm_B_18_X66468.v2	29	27	25	28	1	36	0	26	29	30	35	28	41	26	26	3
erm_B_9_AF299292.R	5	3	1	2	25	10	26	0	5	6	9	4	15	2	2	27
erm_B_23_X72021.v1	1	3	4	4	28	10	29	5	0	2	9	1	13	5	5	30
erm_B_23_X72021.v2	1	3	5	4	29	10	30	6	2	0	9	2	13	6	6	31
erm_B_20_AF109075.R	8	8	10	7	34	1	35	9	9	9	0	9	18	11	11	36
erm_B_23_X72021.v3	1	3	3	4	27	10	28	4	1	2	9	0	13	4	4	29
erm_B_6_AF242872.R	12	14	16	13	40	19	41	15	13	13	18	13	0	17	17	42
erm_B_10_U86375.v1	5	3	1	4	25	12	26	2	5	6	11	4	17	0	2	27
erm_B_10_U86375.v2	5	3	1	4	25	12	26	2	5	6	11	4	17	2	0	27
erm_B_18_X66468.R	30	28	26	29	2	37	3	27	30	31	36	29	42	27	27	0
