snp-dists 0.7.0	mef_A_3_AF227520.v1	mef_A_3_AF227520.v2	mef_A_3_AF227520.v3	mef_A_3_AF227520.R
mef_A_3_AF227520.v1	0	1	3	2
mef_A_3_AF227520.v2	1	0	2	3
mef_A_3_AF227520.v3	3	2	0	5
mef_A_3_AF227520.R	2	3	5	0
