snp-dists 0.7.0	lnu_G_1_KX470419.v1	lnu_G_1_KX470419.R	lnu_G_1_KX470419.v2
lnu_G_1_KX470419.v1	0	9	3
lnu_G_1_KX470419.R	9	0	12
lnu_G_1_KX470419.v2	3	12	0
