snp-dists 0.7.0	aadA2_2_JQ364967.R	aadA2_1_NC_010870.v1	aadA2_1_NC_010870.R	aadA3_1_AF047479.v1	aadA2_1_NC_010870.v2	aadA8b_1_AY139603.R	aadA8_1_AF326210.v1	aadA3_1_AF047479.R	aadA2_1_NC_010870.v3	aadA8_1_AF326210.R
aadA2_2_JQ364967.R	0	29	28	12	29	27	30	11	29	31
aadA2_1_NC_010870.v1	29	0	1	37	2	52	55	36	1	56
aadA2_1_NC_010870.R	28	1	0	38	3	53	56	37	2	57
aadA3_1_AF047479.v1	12	37	38	0	37	15	18	1	37	19
aadA2_1_NC_010870.v2	29	2	3	37	0	52	55	36	1	56
aadA8b_1_AY139603.R	27	52	53	15	52	0	5	16	52	6
aadA8_1_AF326210.v1	30	55	56	18	55	5	0	19	55	1
aadA3_1_AF047479.R	11	36	37	1	36	16	19	0	36	20
aadA2_1_NC_010870.v3	29	1	2	37	1	52	55	36	0	56
aadA8_1_AF326210.R	31	56	57	19	56	6	1	20	56	0
