snp-dists 0.7.0	dfrA31_1_AB200915.R	dfrA6_2_FJ905898.v1	dfrA6_2_FJ905898.R
dfrA31_1_AB200915.R	0	17	17
dfrA6_2_FJ905898.v1	17	0	2
dfrA6_2_FJ905898.R	17	2	0
