snp-dists 0.7.0	nimA_1_X71444.v1	nimA_1_X71444.v2	nimA_1_X71444.R
nimA_1_X71444.v1	0	1	2
nimA_1_X71444.v2	1	0	3
nimA_1_X71444.R	2	3	0
