snp-dists 0.7.0	sul2_2_AY034138.R	sul2_13_AJ289135.v1	sul2_11_AY232670.R	sul2_3_HQ840942.R	sul2_18_AJ830714.R	sul2_10_AM183225.R	sul2_6_FN995456.R	sul2_9_FJ197818.R	sul2_12_AF497970.R	sul2_17_U57647.R	sul2_13_AJ289135.R
sul2_2_AY034138.R	0	1	1	3	1	3	2	36	1	1	2
sul2_13_AJ289135.v1	1	0	2	4	2	4	3	37	2	2	2
sul2_11_AY232670.R	1	2	0	4	2	4	3	37	2	2	3
sul2_3_HQ840942.R	3	4	4	0	4	6	1	39	4	4	5
sul2_18_AJ830714.R	1	2	2	4	0	4	3	37	2	2	3
sul2_10_AM183225.R	3	4	4	6	4	0	5	39	4	4	5
sul2_6_FN995456.R	2	3	3	1	3	5	0	38	3	3	4
sul2_9_FJ197818.R	36	37	37	39	37	39	38	0	37	37	38
sul2_12_AF497970.R	1	2	2	4	2	4	3	37	0	2	3
sul2_17_U57647.R	1	2	2	4	2	4	3	37	2	0	3
sul2_13_AJ289135.R	2	2	3	5	3	5	4	38	3	3	0
