snp-dists 0.7.0	blaGES_5_1_DQ236171.R	blaGES_2_1_AF326355.R	blaGES_1_1_HQ170511.R	blaGES_13_1_GU169702.R	blaGES_3_1_AB113580.R	blaGES_16_1_HM173356.R	blaGES_7_1_HM453325.R	blaGES_6_1_AY494718.R	blaGES_4_1_AB116723.R	blaGES_9_1_AY920928.R	blaGES_2_1_AF326355.v1	blaGES_14_1_GU207844.R
blaGES_5_1_DQ236171.R	0	1	1	2	4	2	2	2	3	3	2	1
blaGES_2_1_AF326355.R	1	0	2	1	5	3	3	3	4	4	1	2
blaGES_1_1_HQ170511.R	1	2	0	3	3	3	1	3	4	2	3	2
blaGES_13_1_GU169702.R	2	1	3	0	4	4	2	2	3	5	2	3
blaGES_3_1_AB113580.R	4	5	3	4	0	6	2	4	1	5	6	5
blaGES_16_1_HM173356.R	2	3	3	4	6	0	4	4	5	5	4	3
blaGES_7_1_HM453325.R	2	3	1	2	2	4	0	2	3	3	4	3
blaGES_6_1_AY494718.R	2	3	3	2	4	4	2	0	3	5	4	3
blaGES_4_1_AB116723.R	3	4	4	3	1	5	3	3	0	6	5	4
blaGES_9_1_AY920928.R	3	4	2	5	5	5	3	5	6	0	5	4
blaGES_2_1_AF326355.v1	2	1	3	2	6	4	4	4	5	5	0	3
blaGES_14_1_GU207844.R	1	2	2	3	5	3	3	3	4	4	3	0
