snp-dists 0.7.0	cat_2_M35190.R	cat_2_M35190.v1	cat_2_M35190.v2
cat_2_M35190.R	0	19	1
cat_2_M35190.v1	19	0	20
cat_2_M35190.v2	1	20	0
