snp-dists 0.7.0	catB8_1_AF227506.R	catB8_1_AF227506.v1	catB8_1_AF227506.v2
catB8_1_AF227506.R	0	1	3
catB8_1_AF227506.v1	1	0	2
catB8_1_AF227506.v2	3	2	0
