snp-dists 0.7.0	aph_6_Id_1_M28829.R	aph_6_Id_4_CP000971.R	aph_6_Id_1_M28829.v1	aph_6_Id_3_AB109805.R	aph_6_Id_5_18676889.R
aph_6_Id_1_M28829.R	0	7	1	2	1
aph_6_Id_4_CP000971.R	7	0	8	9	8
aph_6_Id_1_M28829.v1	1	8	0	3	2
aph_6_Id_3_AB109805.R	2	9	3	0	3
aph_6_Id_5_18676889.R	1	8	2	3	0
