snp-dists 0.7.0	erm_47_1_KU612222.v1	erm_47_1_KU612222.v2	erm_47_1_KU612222.R
erm_47_1_KU612222.v1	0	1	2
erm_47_1_KU612222.v2	1	0	3
erm_47_1_KU612222.R	2	3	0
