snp-dists 0.7.0	lnu_F_1_EU118119.R	lnu_F_1_EU118119.v1	lnu_F_1_EU118119.v2
lnu_F_1_EU118119.R	0	4	1
lnu_F_1_EU118119.v1	4	0	5
lnu_F_1_EU118119.v2	1	5	0
