snp-dists 0.7.0	aadA4_1_Z50802.v1	aadA5_1_AF137361.R	aadA5_1_AF137361.v1	aadA5_1_AF137361.v2	aadA5_1_AF137361.v3	aadA4_1_Z50802.R
aadA4_1_Z50802.v1	0	36	39	37	38	3
aadA5_1_AF137361.R	36	0	3	1	2	39
aadA5_1_AF137361.v1	39	3	0	2	1	42
aadA5_1_AF137361.v2	37	1	2	0	1	40
aadA5_1_AF137361.v3	38	2	1	1	0	41
aadA4_1_Z50802.R	3	39	42	40	41	0
