snp-dists 0.7.0	aph_3_VIb_1_AJ627643.R	aph_3_VIa_1_X07753.R	aph_3_VI_1_KC170992.R	aph_3_VIa_1_X07753.v1
aph_3_VIb_1_AJ627643.R	0	31	31	32
aph_3_VIa_1_X07753.R	31	0	12	1
aph_3_VI_1_KC170992.R	31	12	0	13
aph_3_VIa_1_X07753.v1	32	1	13	0
