snp-dists 0.7.0	blaACT_4_2_AJ311172.v1	blaACT_2_1_AM076977.R	blaACT_3_1_EF125013.R	blaACT_4_2_AJ311172.R
blaACT_4_2_AJ311172.v1	0	40	44	1
blaACT_2_1_AM076977.R	40	0	6	41
blaACT_3_1_EF125013.R	44	6	0	45
blaACT_4_2_AJ311172.R	1	41	45	0
