snp-dists 0.7.0	aac_6_Ib_cr_1_DQ303918.R	aac_6_Ib_1_M21682.R	aac_6_Ib_cr_2_EF636461.R	aac_6_Ib3_1_X60321.R	aac_6_Ib3_1_X60321.v1
aac_6_Ib_cr_1_DQ303918.R	0	15	82	47	48
aac_6_Ib_1_M21682.R	15	0	90	52	53
aac_6_Ib_cr_2_EF636461.R	82	90	0	38	38
aac_6_Ib3_1_X60321.R	47	52	38	0	1
aac_6_Ib3_1_X60321.v1	48	53	38	1	0
