snp-dists 0.7.0	ere_A_2_AF099140.R	ere_A_5_FN396877.R	ere_A_2_AF099140.v1
ere_A_2_AF099140.R	0	90	1
ere_A_5_FN396877.R	90	0	91
ere_A_2_AF099140.v1	1	91	0
