snp-dists 0.7.0	mdf_A_1_Y08743.v1	mdf_A_1_Y08743.v2	mdf_A_1_Y08743.v3	mdf_A_1_Y08743.v4	mdf_A_1_Y08743.R
mdf_A_1_Y08743.v1	0	1	3	1	1
mdf_A_1_Y08743.v2	1	0	2	2	2
mdf_A_1_Y08743.v3	3	2	0	2	4
mdf_A_1_Y08743.v4	1	2	2	0	2
mdf_A_1_Y08743.R	1	2	4	2	0
