snp-dists 0.7.0	erm_X_2_X51472.v1	erm_X_3_U21300.v1	erm_X_2_X51472.R	erm_X_3_U21300.R
erm_X_2_X51472.v1	0	1	1	1
erm_X_3_U21300.v1	1	0	2	2
erm_X_2_X51472.R	1	2	0	1
erm_X_3_U21300.R	1	2	1	0
