snp-dists 0.7.0	oqxA_1_EU370913.v1	oqxA_1_EU370913.v2	oqxA_1_EU370913.v3	oqxA_1_EU370913.v4	oqxA_1_EU370913.v5	oqxA_1_EU370913.v6	oqxA_1_EU370913.v7	oqxA_1_EU370913.v8	oqxA_1_EU370913.v9	oqxA_1_EU370913.v10	oqxA_1_EU370913.v11	oqxA_1_EU370913.R
oqxA_1_EU370913.v1	0	2	4	1	5	2	3	3	2	1	4	4
oqxA_1_EU370913.v2	2	0	2	1	3	2	3	1	2	1	2	4
oqxA_1_EU370913.v3	4	2	0	3	1	2	1	1	2	3	2	2
oqxA_1_EU370913.v4	1	1	3	0	4	1	4	2	3	2	3	5
oqxA_1_EU370913.v5	5	3	1	4	0	3	2	2	3	4	1	1
oqxA_1_EU370913.v6	2	2	2	1	3	0	3	1	2	3	2	4
oqxA_1_EU370913.v7	3	3	1	4	2	3	0	2	1	2	3	1
oqxA_1_EU370913.v8	3	1	1	2	2	1	2	0	1	2	1	3
oqxA_1_EU370913.v9	2	2	2	3	3	2	1	1	0	1	2	2
oqxA_1_EU370913.v10	1	1	3	2	4	3	2	2	1	0	3	3
oqxA_1_EU370913.v11	4	2	2	3	1	2	3	1	2	3	0	2
oqxA_1_EU370913.R	4	4	2	5	1	4	1	3	2	3	2	0
