snp-dists 0.7.0	aadA7_1_AF224733.R	aadA7_1_AF224733.v1	aadA7_1_AF224733.v2	aadA7_1_AF224733.v3	aadA7_1_AF224733.v4	aadA7_1_AF224733.v5
aadA7_1_AF224733.R	0	3	1	2	7	1
aadA7_1_AF224733.v1	3	0	2	1	6	2
aadA7_1_AF224733.v2	1	2	0	1	6	2
aadA7_1_AF224733.v3	2	1	1	0	5	1
aadA7_1_AF224733.v4	7	6	6	5	0	6
aadA7_1_AF224733.v5	1	2	2	1	6	0
