snp-dists 0.7.0	dfrA22_4_AJ628423.R	dfrA22_2_KF525301.R	dfrA22_3_FM957884.v1	dfrA22_3_FM957884.R
dfrA22_4_AJ628423.R	0	23	15	16
dfrA22_2_KF525301.R	23	0	25	26
dfrA22_3_FM957884.v1	15	25	0	1
dfrA22_3_FM957884.R	16	26	1	0
