snp-dists 0.7.0	blaOXA_333_1_KF203107.R	blaOXA_211_1_JN861779.R	blaOXA_334_1_KF203108.R	blaOXA_280_1_APPZ01000001.R	blaOXA_280_1_APPZ01000001.v1	blaOXA_334_1_KF203108.v1	blaOXA_281_1_APON01000041.R	blaOXA_212_1_JN861780.v1	blaOXA_373_1_HG931732.R	blaOXA_280_1_APPZ01000001.v2	blaOXA_212_1_JN861780.v2	blaOXA_212_1_JN861780.R	blaOXA_212_1_JN861780.v3
blaOXA_333_1_KF203107.R	0	34	43	43	41	44	38	41	35	42	44	42	43
blaOXA_211_1_JN861779.R	34	0	44	31	29	45	28	28	25	30	31	29	30
blaOXA_334_1_KF203108.R	43	44	0	40	38	1	39	46	41	39	49	47	48
blaOXA_280_1_APPZ01000001.R	43	31	40	0	2	41	34	38	32	1	39	39	38
blaOXA_280_1_APPZ01000001.v1	41	29	38	2	0	39	32	36	30	1	37	37	36
blaOXA_334_1_KF203108.v1	44	45	1	41	39	0	40	47	42	40	50	48	49
blaOXA_281_1_APON01000041.R	38	28	39	34	32	40	0	37	19	33	40	37	38
blaOXA_212_1_JN861780.v1	41	28	46	38	36	47	37	0	37	37	3	1	2
blaOXA_373_1_HG931732.R	35	25	41	32	30	42	19	37	0	31	40	37	38
blaOXA_280_1_APPZ01000001.v2	42	30	39	1	1	40	33	37	31	0	38	38	37
blaOXA_212_1_JN861780.v2	44	31	49	39	37	50	40	3	40	38	0	4	3
blaOXA_212_1_JN861780.R	42	29	47	39	37	48	37	1	37	38	4	0	1
blaOXA_212_1_JN861780.v3	43	30	48	38	36	49	38	2	38	37	3	1	0
