snp-dists 0.7.0	mph_A_1_D16251.R	mph_A_2_U36578.v1	mph_A_1_D16251.v1	mph_A_1_D16251.v2	mph_A_2_U36578.R
mph_A_1_D16251.R	0	611	1	1	610
mph_A_2_U36578.v1	611	0	612	610	2
mph_A_1_D16251.v1	1	612	0	2	611
mph_A_1_D16251.v2	1	610	2	0	609
mph_A_2_U36578.R	610	2	611	609	0
