snp-dists 0.7.0	tet_40_2_AM419751.v1	tet_40_1_FJ158002.R	tet_40_2_AM419751.v2	tet_40_1_FJ158002.v1	tet_40_2_AM419751.R
tet_40_2_AM419751.v1	0	4	1	5	1
tet_40_1_FJ158002.R	4	0	5	1	5
tet_40_2_AM419751.v2	1	5	0	4	2
tet_40_1_FJ158002.v1	5	1	4	0	6
tet_40_2_AM419751.R	1	5	2	6	0
