snp-dists 0.7.0	blaCARB_2_1_M69058.R	blaCARB_2_1_M69058.v1	blaCARB_12_1_D13210.R
blaCARB_2_1_M69058.R	0	1	10
blaCARB_2_1_M69058.v1	1	0	9
blaCARB_12_1_D13210.R	10	9	0
