snp-dists 0.7.0	qnrB1_1_DQ351241.R	qnrB6_2_EF523819.R	qnrB2_1_DQ351242.R	qnrB7_1_EU043311.R	qnrB9_1_EF526508.R
qnrB1_1_DQ351241.R	0	6	24	19	18
qnrB6_2_EF523819.R	6	0	25	20	19
qnrB2_1_DQ351242.R	24	25	0	18	17
qnrB7_1_EU043311.R	19	20	18	0	1
qnrB9_1_EF526508.R	18	19	17	1	0
