snp-dists 0.7.0	erm_F_3_M17808.R	erm_F_3_M17808.v1	erm_F_3_M17808.v2	erm_F_3_M17808.v3	erm_F_3_M17808.v4	erm_F_3_M17808.v5
erm_F_3_M17808.R	0	3	2	1	1	3
erm_F_3_M17808.v1	3	0	1	2	2	2
erm_F_3_M17808.v2	2	1	0	1	1	1
erm_F_3_M17808.v3	1	2	1	0	2	2
erm_F_3_M17808.v4	1	2	1	2	0	2
erm_F_3_M17808.v5	3	2	1	2	2	0
