snp-dists 0.7.0	aadA16_1_EU675686.v1	aadA16_1_EU675686.v2	aadA16_1_EU675686.v3	aadA16_1_EU675686.v4	aadA16_1_EU675686.R
aadA16_1_EU675686.v1	0	3	2	1	6
aadA16_1_EU675686.v2	3	0	1	2	3
aadA16_1_EU675686.v3	2	1	0	1	4
aadA16_1_EU675686.v4	1	2	1	0	5
aadA16_1_EU675686.R	6	3	4	5	0
