snp-dists 0.7.0	blaOXA_10_1_J03427.R	blaOXA_101_1_AM412777.R	blaOXA_17_1_DQ902344.R	blaOXA_256_1_HE616889.R	blaOXA_35_1_AF315786.R	blaOXA_74_1_EU161636.R	blaOXA_101_1_AM412777.v1	blaOXA_246_1_EU886980.R	blaOXA_256_1_HE616889.v1	blaOXA_520_1_KX388630.R	blaOXA_56_1_AY445080.R	blaOXA_14_1_KJ420612.R
blaOXA_10_1_J03427.R	0	26	1	1	24	2	27	1	1	1	28	1
blaOXA_101_1_AM412777.R	26	0	27	27	4	28	1	27	27	27	2	27
blaOXA_17_1_DQ902344.R	1	27	0	2	25	1	28	2	1	2	29	2
blaOXA_256_1_HE616889.R	1	27	2	0	25	3	28	2	2	2	29	2
blaOXA_35_1_AF315786.R	24	4	25	25	0	26	5	25	25	25	6	25
blaOXA_74_1_EU161636.R	2	28	1	3	26	0	29	3	2	3	30	3
blaOXA_101_1_AM412777.v1	27	1	28	28	5	29	0	28	28	28	3	28
blaOXA_246_1_EU886980.R	1	27	2	2	25	3	28	0	2	2	29	2
blaOXA_256_1_HE616889.v1	1	27	1	2	25	2	28	2	0	2	29	2
blaOXA_520_1_KX388630.R	1	27	2	2	25	3	28	2	2	0	29	2
blaOXA_56_1_AY445080.R	28	2	29	29	6	30	3	29	29	29	0	29
blaOXA_14_1_KJ420612.R	1	27	2	2	25	3	28	2	2	2	29	0
