snp-dists 0.7.0	tet_M_12_FR671418.R	tet_M_8_X04388.v1	tet_M_8_X04388.R
tet_M_12_FR671418.R	0	39	38
tet_M_8_X04388.v1	39	0	1
tet_M_8_X04388.R	38	1	0
