snp-dists 0.7.0	blaADC_25_1_EF016355.v1	blaADC_25_1_EF016355.v2	blaADC_25_1_EF016355.R
blaADC_25_1_EF016355.v1	0	42	52
blaADC_25_1_EF016355.v2	42	0	12
blaADC_25_1_EF016355.R	52	12	0
