snp-dists 0.7.0	blaOKP_B_4_1_AM051153.R	blaOKP_B_9_1_AM051159.R	blaOKP_B_3_1_AM051152.R
blaOKP_B_4_1_AM051153.R	0	7	6
blaOKP_B_9_1_AM051159.R	7	0	5
blaOKP_B_3_1_AM051152.R	6	5	0
