snp-dists 0.7.0	aac_3_IId_1_EU022314.v1	aac_3_IIa_1_X51534.R	aac_3_IId_1_EU022314.R
aac_3_IId_1_EU022314.v1	0	26	1
aac_3_IIa_1_X51534.R	26	0	25
aac_3_IId_1_EU022314.R	1	25	0
