snp-dists 0.7.0	blaSHV_12_1_KF976405.R	blaSHV_1_1_AF148850.R	blaSHV_119_1_JX192924.R	blaSHV_26_1_AF227204.R
blaSHV_12_1_KF976405.R	0	5	6	5
blaSHV_1_1_AF148850.R	5	0	7	4
blaSHV_119_1_JX192924.R	6	7	0	7
blaSHV_26_1_AF227204.R	5	4	7	0
