snp-dists 0.7.0	tet_O_3_Y07780.R	tet_O_2_M20925.R	tet_O_2_M20925.v1	tet_O_3_Y07780.v1	tet_O_3_Y07780.v2	tet_O_3_Y07780.v3
tet_O_3_Y07780.R	0	12	13	1	1	1
tet_O_2_M20925.R	12	0	1	13	11	11
tet_O_2_M20925.v1	13	1	0	14	12	12
tet_O_3_Y07780.v1	1	13	14	0	2	2
tet_O_3_Y07780.v2	1	11	12	2	0	2
tet_O_3_Y07780.v3	1	11	12	2	2	0
