snp-dists 0.7.0	blaCARB_8_1_AY178993.R	blaCARB_16_1_HF953351.R	blaCARB_10_1_EU850412.v1	blaCARB_5_1_AF135373.R	blaCARB_10_1_EU850412.v2	blaCARB_8_1_AY178993.v1	blaCARB_10_1_EU850412.R
blaCARB_8_1_AY178993.R	0	3	5	3	6	1	6
blaCARB_16_1_HF953351.R	3	0	4	2	5	3	5
blaCARB_10_1_EU850412.v1	5	4	0	4	1	5	1
blaCARB_5_1_AF135373.R	3	2	4	0	5	3	5
blaCARB_10_1_EU850412.v2	6	5	1	5	0	6	2
blaCARB_8_1_AY178993.v1	1	3	5	3	6	0	6
blaCARB_10_1_EU850412.R	6	5	1	5	2	6	0
