snp-dists 0.7.0	blaTEM_1B_1_AY458016.R	blaTEM_1C_1_FJ560503.R	blaTEM_1A_1_HM749966.R	blaTEM_116_1_AY425988.R	blaTEM_176_1_GU550123.R	blaTEM_215_1_KP050492.R	blaTEM_33_1_GU371926.R	blaTEM_35_1_KP860986.R	blaTEM_15_1_AM849805.R	blaTEM_30_1_AJ437107.R	blaTEM_40_1_FR717535.R	blaTEM_135_1_GQ896333.R
blaTEM_1B_1_AY458016.R	0	2	3	5	1	1	1	2	2	1	3	2
blaTEM_1C_1_FJ560503.R	2	0	1	3	3	3	3	4	4	3	1	2
blaTEM_1A_1_HM749966.R	3	1	0	2	4	4	4	5	5	4	2	3
blaTEM_116_1_AY425988.R	5	3	2	0	6	6	6	7	7	6	4	5
blaTEM_176_1_GU550123.R	1	3	4	6	0	2	2	3	3	2	4	3
blaTEM_215_1_KP050492.R	1	3	4	6	2	0	2	3	3	2	4	3
blaTEM_33_1_GU371926.R	1	3	4	6	2	2	0	1	3	2	4	3
blaTEM_35_1_KP860986.R	2	4	5	7	3	3	1	0	4	3	5	4
blaTEM_15_1_AM849805.R	2	4	5	7	3	3	3	4	0	3	5	4
blaTEM_30_1_AJ437107.R	1	3	4	6	2	2	2	3	3	0	4	3
blaTEM_40_1_FR717535.R	3	1	2	4	4	4	4	5	5	4	0	3
blaTEM_135_1_GQ896333.R	2	2	3	5	3	3	3	4	4	3	3	0
