snp-dists 0.7.0	lsa_E_1_JX560992.v1	lsa_E_1_JX560992.v2	lsa_E_1_JX560992.R	lsa_E_1_JX560992.v3	lsa_E_1_JX560992.v4	lsa_E_1_JX560992.v5	lsa_E_1_JX560992.v6	lsa_E_1_JX560992.v7
lsa_E_1_JX560992.v1	0	1	1	13	9	20	14	13
lsa_E_1_JX560992.v2	1	0	2	12	8	19	13	12
lsa_E_1_JX560992.R	1	2	0	14	10	21	15	14
lsa_E_1_JX560992.v3	13	12	14	0	4	7	1	2
lsa_E_1_JX560992.v4	9	8	10	4	0	11	5	4
lsa_E_1_JX560992.v5	20	19	21	7	11	0	8	9
lsa_E_1_JX560992.v6	14	13	15	1	5	8	0	3
lsa_E_1_JX560992.v7	13	12	14	2	4	9	3	0
