snp-dists 0.7.0	blaCARB_4_1_FJ785525.R	blaCARB_4_1_FJ785525.v1	blaCARB_4_1_FJ785525.v2	blaCARB_4_1_FJ785525.v3
blaCARB_4_1_FJ785525.R	0	1	4	9
blaCARB_4_1_FJ785525.v1	1	0	5	10
blaCARB_4_1_FJ785525.v2	4	5	0	5
blaCARB_4_1_FJ785525.v3	9	10	5	0
