snp-dists 0.7.0	sul1_2_U12338.R	sul1_9_AY963803.R	sul1_36_X15024.R	sul1_38_BX248359.R	sul1_5_EU780013.R	sul1_20_JF262165.R	sul1_33_AJ564903.R	sul1_3_EU855787.R	sul1_8_JN581942.R
sul1_2_U12338.R	0	13	1	14	28	1	1	1	4
sul1_9_AY963803.R	13	0	14	1	24	14	14	14	16
sul1_36_X15024.R	1	14	0	15	29	2	2	2	3
sul1_38_BX248359.R	14	1	15	0	25	15	15	15	17
sul1_5_EU780013.R	28	24	29	25	0	29	29	29	32
sul1_20_JF262165.R	1	14	2	15	29	0	2	2	5
sul1_33_AJ564903.R	1	14	2	15	29	2	0	2	5
sul1_3_EU855787.R	1	14	2	15	29	2	2	0	5
sul1_8_JN581942.R	4	16	3	17	32	5	5	5	0
