snp-dists 0.7.0	tet_B_2_AF326777.R	tet_B_1_AP000342.R	tet_B_1_AP000342.v1	tet_B_1_AP000342.v2
tet_B_2_AF326777.R	0	1	3	2
tet_B_1_AP000342.R	1	0	2	1
tet_B_1_AP000342.v1	3	2	0	1
tet_B_1_AP000342.v2	2	1	1	0
