snp-dists 0.7.0	ant_3_Ia_1_X02340.R	aadA1_4_JQ480156.R	aadA1_3_JQ414041.R	aadA1b_1_M95287.R	aadA22_1_AM261837.R	ant_3_Ia_1_X02340.v1	aadA1_5_JX185132.R	aadA24_1_DQ677333.R
ant_3_Ia_1_X02340.R	0	185	182	185	200	1	182	206
aadA1_4_JQ480156.R	185	0	5	8	25	185	5	29
aadA1_3_JQ414041.R	182	5	0	5	22	182	2	24
aadA1b_1_M95287.R	185	8	5	0	25	185	3	29
aadA22_1_AM261837.R	200	25	22	25	0	200	22	21
ant_3_Ia_1_X02340.v1	1	185	182	185	200	0	182	206
aadA1_5_JX185132.R	182	5	2	3	22	182	0	26
aadA24_1_DQ677333.R	206	29	24	29	21	206	26	0
