snp-dists 0.7.0	blaOXA_276_1_APPI01000013.R	blaOXA_277_1_APPQ01000011.R	blaOXA_360_1_KF421163.R	blaOXA_235_1_JQ820240.R
blaOXA_276_1_APPI01000013.R	0	15	36	41
blaOXA_277_1_APPQ01000011.R	15	0	36	42
blaOXA_360_1_KF421163.R	36	36	0	44
blaOXA_235_1_JQ820240.R	41	42	44	0
