snp-dists 0.7.0	lnu_F_3_AJ561197.v1	lnu_F_3_AJ561197.v2	lnu_F_3_AJ561197.v3	lnu_F_3_AJ561197.R
lnu_F_3_AJ561197.v1	0	2	1	1
lnu_F_3_AJ561197.v2	2	0	1	3
lnu_F_3_AJ561197.v3	1	1	0	2
lnu_F_3_AJ561197.R	1	3	2	0
