snp-dists 0.7.0	tet_O_32_O_5_FP929050.R	tet_O_32_O_4_AIOQ01000025.R	tet_O_32_O_5_FP929050.v1	tet_O_32_O_5_FP929050.v2	tet_O_32_O_3_NZ_AUJS01000017.R
tet_O_32_O_5_FP929050.R	0	20	1	2	45
tet_O_32_O_4_AIOQ01000025.R	20	0	19	18	32
tet_O_32_O_5_FP929050.v1	1	19	0	3	44
tet_O_32_O_5_FP929050.v2	2	18	3	0	47
tet_O_32_O_3_NZ_AUJS01000017.R	45	32	44	47	0
