snp-dists 0.7.0	tet_M_7_FN433596.R	tet_M_13_AM990992.R	tet_M_1_X92947.R	tet_M_7_FN433596.v1
tet_M_7_FN433596.R	0	46	44	1
tet_M_13_AM990992.R	46	0	4	47
tet_M_1_X92947.R	44	4	0	45
tet_M_7_FN433596.v1	1	47	45	0
