snp-dists 0.7.0	aac_6_Ig_1_L09246.v1	aac_6_Ig_1_L09246.v2	aac_6_Ig_1_L09246.R
aac_6_Ig_1_L09246.v1	0	11	11
aac_6_Ig_1_L09246.v2	11	0	2
aac_6_Ig_1_L09246.R	11	2	0
