snp-dists 0.7.0	blaOXA_129_1_FJWZ01000025.R	blaOXA_129_1_FJWZ01000025.v1	blaOXA_129_1_FJWZ01000025.v2	blaOXA_129_1_FJWZ01000025.v3
blaOXA_129_1_FJWZ01000025.R	0	2	1	1
blaOXA_129_1_FJWZ01000025.v1	2	0	1	3
blaOXA_129_1_FJWZ01000025.v2	1	1	0	2
blaOXA_129_1_FJWZ01000025.v3	1	3	2	0
