snp-dists 0.7.0	ere_A_6_DQ157752.v1	ere_A_6_DQ157752.v2	ere_A_1_AY183453.v1	ere_A_1_AY183453.R	ere_A_6_DQ157752.R
ere_A_6_DQ157752.v1	0	1	14	15	1
ere_A_6_DQ157752.v2	1	0	15	16	2
ere_A_1_AY183453.v1	14	15	0	1	15
ere_A_1_AY183453.R	15	16	1	0	16
ere_A_6_DQ157752.R	1	2	15	16	0
