snp-dists 0.7.0	blaVEB_3_1_AY536519.R	blaVEB_1_3_DQ393569.R	blaVEB_1_1_HM370393.R	blaVEB_1_4_AF324834.R	blaVEB_7_1_FJ825622.R
blaVEB_3_1_AY536519.R	0	2	1	2	3
blaVEB_1_3_DQ393569.R	2	0	1	2	3
blaVEB_1_1_HM370393.R	1	1	0	1	2
blaVEB_1_4_AF324834.R	2	2	1	0	1
blaVEB_7_1_FJ825622.R	3	3	2	1	0
