snp-dists 0.7.0	tet_A_6_AF534183.R	tet_A_4_AJ517790.R	tet_A_6_AF534183.v1	tet_A_3_AY196695.R	tet_A_3_AY196695.v1	tet_A_4_AJ517790.v1
tet_A_6_AF534183.R	0	113	1	120	121	117
tet_A_4_AJ517790.R	113	0	114	7	8	4
tet_A_6_AF534183.v1	1	114	0	121	120	118
tet_A_3_AY196695.R	120	7	121	0	1	11
tet_A_3_AY196695.v1	121	8	120	1	0	12
tet_A_4_AJ517790.v1	117	4	118	11	12	0
