snp-dists 0.7.0	tet_C_2_AY046276.R	tet_C_3_AF055345.v1	tet_C_1_NC_003123.v1	tet_C_2_AY046276.v1	tet_C_1_NC_003123.R	tet_C_3_AF055345.R
tet_C_2_AY046276.R	0	15	37	1	36	16
tet_C_3_AF055345.v1	15	0	22	16	21	1
tet_C_1_NC_003123.v1	37	22	0	38	1	23
tet_C_2_AY046276.v1	1	16	38	0	37	17
tet_C_1_NC_003123.R	36	21	1	37	0	22
tet_C_3_AF055345.R	16	1	23	17	22	0
